cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;cod_dpto;departamento;cod_mpio;municipio;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;año_corte;mes_corte
3807;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE DOSQUEBRADAS;8035;CENTRO COLOMBIANO DE CAPACITACIÓN LABORAL-CEDEC;088;01/27/2016 12:00:00 AM;66;RISARALDA;66170;DOSQUEBRADAS;NO;;;;;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;8675;ESCUELA DE TECNOLOGÍAS DE ANTIOQUIA - ETA;3745;06/25/2075 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;NO;;;;;2020;11
3815;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL TOLIMA;8490;CENTRO EDUCATIVO TOLIMENSE ESPECIALIZADO EN SISTEMAS Y SALUD CENTECS;1769;03/23/2017 12:00:00 AM;73;TOLIMA;73217;COYAIMA;NO;;;;;2020;11
3759;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;7488;ESCUELA DE IDIOMAS DE LA UNIVERSIDAD DE ANTIOQUIA;1297;05/30/2064 12:00:00 AM;5;ANTIOQUIA;5001;MEDELLÍN;NO;;;;;2020;11
4841;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE YOPAL;4637;FUNDACIÓN TÉCNICA RAMON NONATO PEREZ;0796;06/27/2016 12:00:00 AM;85;CASANARE;85001;YOPAL;NO;;;;;2020;11
3778;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE POPAYÁN;9512;CORPORACION UNIVERSITARIA COMFACAUCA-UNICOMFACAUCA;597;04/02/2001 12:00:00 AM;19;CAUCA;19001;POPAYÁN;NO;;;;;2020;11
3764;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL ATLÁNTICO;7223;CORPORACION CENTRO CULTURAL COLOMBO AMERICANO;2813;12/04/2013 12:00:00 AM;8;ATLÁNTICO;8573;PUERTO COLOMBIA;SI;FT-CER281733;NTC 5555;ICONTEC;RENOVADA;2020;11
3809;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUCARAMANGA;716;ESCUELA COLOMBIANA DE FORMACION EN SALUD  EFORSALUD;786;02/23/2096 12:00:00 AM;68;SANTANDER;68001;BUCARAMANGA;SI;FT 016-1;NTC 5555;ICONTEC;RENOVADA;2020;11
3808;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER;7086;CENTRO TECNICO DE IDIOMAS Y AFINES-CAISA;05303;03/14/2014 12:00:00 AM;68;SANTANDER;68679;SAN GIL;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;372;INSTITUTO PSICOTÉCNICO IPLER;7049;12/06/2096 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3815;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL TOLIMA;9328;CENTRO DE COMPUTO TÉCNICO DE COLOMBIA CECONTEC;4338;07/26/2019 12:00:00 AM;73;TOLIMA;73504;ORTEGA;NO;;;;;2020;11
3778;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE POPAYÁN;6921;INSTEL;2524;12/24/2002 12:00:00 AM;19;CAUCA;19001;POPAYÁN;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;5158;CENTRO DE DESARROLLO INTEGRAL CEDI;2840;12/16/2091 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3797;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO;3222;"CORPORACIÓN TERRITORIAL DE LA ORINOQUÍA ""CORTEORINOQUIA""";0064;02/10/2009 12:00:00 AM;50;META;50001;VILLAVICENCIO;NO;;;;;2020;11
3781;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CÓRDOBA;7513;"INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN TÉCNICA DE LA SABANA ""IDECTSA""";1251;12/17/2013 12:00:00 AM;23;CÓRDOBA;23675;SAN BERNARDO DEL VIENTO;NO;;;;;2020;11
3793;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MAICAO;8781;CORPORACION POLITECNICO DE CUNDINAMARCA;453;03/19/2016 12:00:00 AM;44;LA GUAJIRA;44430;MAICAO;NO;;;;;2020;11
3777;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CAUCA;7434;E.S.P INSTITUTE;08434;11/13/2014 12:00:00 AM;19;CAUCA;19698;SANTANDER DE QUILICHAO;NO;;;;;2020;11
3817;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL VALLE;5004;INSTITUTO FORJANDO FUTURO INFORF;0228;02/08/2011 12:00:00 AM;76;VALLE DEL CAUCA;76563;PRADERA;NO;;;;;2020;11
